"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000272655",0.2808296,2.385804,2.074742,0.04881484,0.1732537,-4.704436
"ENSG00000211821",-2.012022,0.9518173,-2.074473,0.04884187,0.1733308,-4.428922
"ENSG00000181785",1.03688,-4.185114,2.074071,0.0488823,0.1734554,-4.035026
"ENSG00000264961",0.8287043,-4.441579,2.07395,0.04889446,0.1734797,-4.05113
"ENSG00000151025",0.8529917,-4.40473,2.073715,0.04891801,0.1735444,-4.048375
"ENSG00000175213",0.292143,4.492891,2.073603,0.0489293,0.1735656,-5.039721
"ENSG00000211836",-0.7782655,-1.536153,-2.073337,0.04895607,0.1736271,-4.097469
"ENSG00000026508",-0.1940931,9.54245,-2.073218,0.04896803,0.1736271,-5.701033
"ENSG00000228737",0.8380077,-4.441579,2.073147,0.0489752,0.1736271,-4.052492
"ENSG00000215070",0.852799,-4.459707,2.073118,0.0489781,0.1736271,-4.052675
"ENSG00000265942",0.9936641,-3.659609,2.073116,0.04897834,0.1736271,-4.002505
"ENSG00000266446",0.5325625,-0.4169366,2.073076,0.04898236,0.1736271,-4.253197
"ENSG00000236795",1.029162,-4.042492,2.07295,0.048995,0.1736271,-4.027728
"ENSG00000135116",0.9114367,0.2170636,2.072916,0.04899843,0.1736271,-4.34526
"ENSG00000211575",1.027619,-3.493307,2.072913,0.04899879,0.1736271,-3.995442
